"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10046abc","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1004c213","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1004f209","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1004f4cf","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10061b7d","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1006aa63","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1006d2f7","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1006f0e7","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10070a3b","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10072378","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10076085","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10078ac7","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10078b76","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1008902e","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","10089161","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","100891b3","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1008a9ca","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1008e8fb","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1009833f","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1009cfff","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","1009ddde","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
"100a54e92019-10-23 02:15:32","100a54e9","DFW1 - 29290","100a321f","23","10","2019-10-23 02:15:32","2019-10-23 02:16:28","46","43","bridge","2164","50"
