"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100567ad","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1005a08d","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1005f148","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10065033","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10066beb","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10068811","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1006b709","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1006c54a","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1006eee7","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1007023d","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10073196","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10078026","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10081e38","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100950a9","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10096814","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10098af5","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","1009b469","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100a02af","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100a39ef","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100a73fe","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100aac2f","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100b0f00","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100b971f","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100b9e96","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100cdee1","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100da1d7","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100ddc29","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100e24e7","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100e2a38","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100e4b68","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100e80d8","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100f4d5f","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100f591d","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100f70be","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100f8bd0","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100fc21f","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","100fd726","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10102542","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","101039dd","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"100830442019-10-13 03:22:33","10083044","ORD5 - 30834","10107da8","13","10","2019-10-13 03:22:33","2019-10-13 03:24:33","58","58","bridge","5950","102"
"incident_guid","b_esn","b_name","day","month","start","stop","cam_count","inc_cams","drop_type","duration_sum","avg"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1000cada","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1000e148","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1001359d","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100160d2","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1001abfc","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10020f19","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","100260fa","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10029040","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1002a24d","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10031834","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10033f50","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","10038944","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
"100830442019-10-23 02:20:38","10083044","ORD5 - 30834","1003b0da","23","10","2019-10-23 02:20:38","2019-10-23 02:21:37","58","71","bridge","5285","74"
