"esn","name","total_secs","after_loss","dif","total_percent","bridge_loss","bridge_loss_count","bridge_percent","camera_loss","camera_loss_count","camera_percent","switch_loss","switch_loss_count","switch_percent","month","day"
"1001f8a7","PDX - 32813","4665600","4634830","30770","99.3400%","0","0","0.0000%","0","0","0.0000%","30770","1","100.0000%","10","23"
"10012346","DFW2 - 29295","3801600","3798837","2763","99.9300%","2466","1","89.2500%","275","1","9.9500%","22","1","0.8000%","10","23"
"100a54e9","DFW1 - 29290","3974400","3969648","4752","99.8800%","4369","5","91.9400%","0","0","0.0000%","383","3","8.0600%","10","23"
"100354fd","JFK2 - 30561","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100736ee","SEA2 - 31242","2764800","2764800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1000e712","DEN - EEN-BR820-30333","3024000","3024000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100317d3","SFO1 - 34022","3888000","3888000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10105ff7","MIA1 - 31492","7689600","7689600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1004c0ff","ORD7 - 30832","2505600","2505600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100112ce","ATL1 - 31335","6739200","6739200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10090323","IAH1 - 30554","3628800","3628800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10035cb5","IAH3 - 30178","3369600","3369600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10015d48","BOS1- 34148","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100eed3d","ORD2 - 30567","4838400","4838400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10083044","ORD5 - 30834","5011200","5011200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10109078","DTW - 30560","2851200","2851200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10007c0c","ORD1 - 31387","3283200","3283200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100d7b9b","SEA1 - 31232","4406400","4406400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1000fede","ORD3 - 30566","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100b317d","ATL2 - 30564","6134400","6134400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100d1583","IAD - 30153","3456000","3456000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10093b39","PHL - 31493","5529600","5529600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100248df","ORD4 - 30191","6048000","6048000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1001eb37","BOS2 - 31336","2592000","2592000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10077d26","SJU1 - 31559","5702400","5702400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10033c8f","IAH2 - 30556","2937600","2937600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1008252d","RDU - 30177","2332800","2332800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1007809a","LAX2 - 30668","6134400","6134400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10061de1","MIA2 - 31246","5961600","5961600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100c3985","JFK1 - 30557","5184000","5184000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1009004c","CVG - 32885","3196800","3196800","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1009e6c6","LAX1 - 30331","5616000","5616000","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1002ea86","ORD6 - 30833","2678400","2678400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1004bbe9","SFO2 - 30555","5875200","5875200","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"1001f8a7","PDX - 32813","4665600","4665600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"10012346","DFW2 - 29295","3801600","3801600","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
"100a54e9","DFW1 - 29290","3974400","3974400","0","100.0000%","0","0","0%","0","0","0%","0","0","0%","10","22"
